id,h0,h1,h2,h3,h4,h5,scores
0,0.3654088756878441,0.3095091099715356,0.2161448634423042,0.35054767688798383,0.30854539519767876,0.6316969427564335,-2.4279699325561523
1,0.2170197810075647,0.5135020358775498,0.9575019270595352,0.37655849925250484,0.6999536903762063,0.25644012076780054,-0.22569461166858673
2,0.6999668044124171,0.7635497908092282,0.9030713011966469,0.90485962942427,0.7342774455871499,0.5182270518493731,-0.00909025315195322
3,0.46295776842940184,0.12813504436075618,0.81376880146611,0.6448078474198201,0.9216935311900138,0.027708096876809307,-0.030353117734193802
4,0.2690491124426805,0.8252632456774394,0.7614744008343776,0.25287911529000884,0.7006164676718372,0.9471589388987476,-0.058886878192424774
5,0.03706178558302953,0.5628021289896076,0.4943188554163933,0.43435916308672773,0.13617183635341867,0.6966260718490092,-0.8474617600440979
6,0.7205375853288578,0.7645926322166352,0.060583013843745204,0.6427451092817111,0.9467022981673775,0.5125671044543976,-0.019438639283180237
7,0.3515308728089179,0.19831986188124562,0.8095339636576908,0.40181369289849167,0.5601478758655636,0.002601310305964999,-0.07560783624649048
8,0.23472656912181755,0.8740417636235025,0.29354103007623844,0.581782346650587,0.2301528976315368,0.30205134090466257,-0.7920114398002625
9,0.26083571097744895,0.30046965621920363,0.6831287949108407,0.2435228014752283,0.41404528129825824,0.9634137828545702,-1.3449090719223022
10,0.6729642227163762,0.42278619141906726,0.481821309419475,0.2484757994144151,0.1520416219006001,0.8984643132499833,-0.670037031173706
11,0.2534485456465002,0.0006713117340551022,0.9212618251987057,0.03117973260338358,0.39282903778155387,0.7938970429939959,-0.7315905690193176
12,0.08874090195390771,0.31888415512822954,0.5197181747979938,0.9453294888684829,0.5395502312067534,0.5269752026296675,-0.04906926304101944
13,0.629964699005815,0.5776673986733154,0.6059547596929659,0.130277931553743,0.3531430973995756,0.3966792337863524,-0.407396137714386
14,0.9864116581887986,0.6325990866205531,0.7003265911802277,0.5259971585436892,0.42850191876626964,0.6437199518894551,-0.12417584657669067
15,0.4642633963385444,0.38998448446369505,0.5678700109071353,0.8521444892455062,0.4637990724515235,0.8891843706587719,-0.14961406588554382
16,0.2718517417651559,0.513859724785254,0.5008545130561946,0.5885004301619733,0.15105169257591522,0.3527990633637791,-0.4710741639137268
17,0.38929739811524877,0.9815069747295508,0.17024209568718296,0.1399242668492091,0.28692577748917314,0.8241712270339401,-0.15082426369190216
18,0.4402092814947347,0.5578391369077745,0.5559598324818191,0.26758100712288524,0.2597321617238474,0.8578137359319077,-1.19878089427948
19,0.5558240239327077,0.6157318652825724,0.2672571878254877,0.7655726992993017,0.558222793259317,0.6726205674950588,-0.0399869941174984
20,0.09546294877935246,0.28454474570215016,0.3608945617533259,0.21494824688334313,0.2011782014118768,0.4176786083927464,-1.4550071954727173
21,0.6393971273657868,0.7116411040466262,0.028975430024195115,0.10656274734090088,0.3122286326817376,0.9150114850764711,-0.21774986386299133
22,0.6485632664475458,0.35945095349494893,0.24695879193169523,0.31821915510245824,0.20208210789524317,0.5645918317381259,-1.152578592300415
23,0.9426443372090916,0.9061252823334391,0.6961923431765399,0.7695415061684879,0.34315929569535575,0.9685327049245613,-0.049392178654670715
24,0.07820430035594894,0.820126838319111,0.8427297346876222,0.1474395394318302,0.17532334709791175,0.24874028677316962,-0.11430239677429199
25,0.9175083230152457,0.8650428434348897,0.3761762715195207,0.39225473725249627,0.1385427549989411,0.5905619643336187,-0.06566832959651947
26,0.18495814716691805,0.788737283333078,0.5320891153601661,0.3457957186956718,0.15278794470762758,0.6574057904090916,-0.5392187237739563
27,0.2440647752176036,0.9340373105248154,0.7633367601244888,0.9186088719214534,0.35888701926906774,0.2987694364650928,-0.23996740579605103
28,0.9122754820633522,0.7769134725817064,0.5646852491023189,0.3296560517443291,0.13340465714073635,0.6862416569458748,-0.1270669847726822
29,0.686217636771025,0.14508889745037445,0.31625509768566795,0.15891931536013637,0.031603067904381055,0.08488041426056503,-0.02871408872306347
30,0.19063793727995437,0.15356511138044404,0.9929668634130604,0.46292230743635,0.18348368774330992,0.8928698509383768,-0.8818090558052063
31,0.02589610732112735,0.30258085273139634,0.5865766637347744,0.11093375418685536,0.6417520964749645,0.9403520709439575,-0.44483357667922974
32,0.19643743609485442,0.5226188209062154,0.6289431387210407,0.24331830231539187,0.8341430552399453,0.7795630440650897,-0.3898562490940094
